Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-04-12;848,00;848,60;850,00;853,40;844,20;847,20;848,656;284284;241268303,34;4196;
2019-04-11;849,80;850,40;853,80;855,00;846,80;850,00;850,152;187897;159737277,56;3068;
2019-04-10;849,80;850,00;846,40;851,20;846,00;850,00;849,042;190951;162119577,23;3091;
2019-04-09;847,80;848,00;846,60;848,80;842,80;848,60;847,512;195668;165821922,01;2580;
2019-04-08;847,20;848,00;840,60;851,60;840,60;849,60;848,541;215400;182772640,52;2990;
2019-04-05;840,60;841,40;844,80;845,80;839,20;839,80;841,066;216698;182263538,6;3159;
2019-04-04;842,20;842,60;843,40;845,80;839,00;843,00;842,97;322081;271409769,45;3234;
2019-04-03;844,20;844,80;841,20;845,00;836,20;845,00;841,739;298907;251572591,09;4646;
2019-04-02;838,40;839,00;838,20;841,80;834,80;840,00;838,994;240433;201717359,47;3249;
2019-04-01;833,20;833,60;837,00;837,00;831,00;833,60;833,323;240055;200037428,7;3034;
2019-03-29;833,40;833,80;839,00;839,00;830,80;831,20;832,369;291626;242751246,16;3094;
2019-03-28;834,20;834,60;829,60;836,80;828,00;836,80;834,759;236061;197047906,11;3497;
2019-03-27;824,60;825,40;830,00;830,00;822,00;828,00;826,26;202927;167660677,53;2859;
2019-03-26;825,00;825,40;814,00;828,20;810,60;828,20;823,778;248708;204859309,89;3330;
2019-03-25;807,80;808,20;814,80;818,60;807,40;809,80;811,285;324621;263352544,23;6104;
2019-03-22;818,00;818,20;824,60;825,80;815,00;819,60;819,453;308998;253206536,81;4066;
2019-03-21;822,40;822,80;814,80;823,80;813,00;822,40;820,85;302192;248052022,75;4612;
2019-03-20;821,00;821,40;828,40;830,20;819,20;819,20;822,848;226537;186400350,73;3682;
2019-03-19;827,20;827,80;826,00;832,20;824,00;827,80;828,225;225836;187042047,63;2508;
2019-03-18;823,20;824,00;820,00;824,20;816,80;823,80;822,057;229062;188269074,74;3093;
2019-03-15;817,80;818,60;816,20;820,80;815,00;820,40;819,042;471595;386233024,81;4489;
2019-03-14;816,40;817,20;815,60;817,80;811,80;817,00;816,047;233693;190699377,57;2830;
2019-03-13;828,00;828,40;826,40;831,00;824,20;827,60;827,374;310970;257287059,86;4382;
2019-03-12;825,60;825,80;823,60;829,40;820,60;829,40;826,336;294079;242984076,98;4750;
2019-03-11;820,60;821,20;822,80;824,00;816,40;822,60;820,725;172034;141185346,02;2856;
2019-03-08;823,00;823,40;821,80;826,60;819,40;823,00;822,817;172774;142167748,67;2579;
2019-03-07;824,20;824,60;820,00;825,60;818,20;823,00;822,515;235752;193904303,07;2953;
2019-03-06;817,40;817,60;815,40;820,00;814,00;817,40;817,694;218406;178590874,87;3620;
2019-03-05;814,40;815,00;812,00;818,40;809,00;814,00;813,982;244841;199292338,6;3598;
2019-03-04;813,00;813,60;817,20;818,00;809,40;812,60;812,752;323444;262878710,08;3656;
2019-03-01;802,40;803,00;798,80;806,00;797,80;804,40;803,262;267450;214827944,76;4508;
2019-02-28;796,60;797,00;793,40;800,00;790,80;794,60;794,967;378173;300632686,42;4904;
2019-02-27;792,80;793,20;809,60;810,80;791,00;793,20;796,033;363389;289242669,64;5629;
2019-02-26;809,00;809,60;801,40;811,80;797,00;811,80;807,552;269638;217711343,48;3554;
2019-02-25;800,60;801,40;801,60;803,80;799,60;802,60;801,831;138935;111398204,85;1710;
2019-02-22;801,20;801,60;799,80;803,00;798,40;800,20;800,737;157163;125847123,44;2502;
2019-02-21;800,00;800,40;796,40;802,80;795,00;799,80;799,905;268657;214897623,25;3893;
2019-02-20;795,80;796,40;789,60;797,00;789,20;795,00;794,59;306258;243341699,7;4346;
2019-02-19;790,00;790,40;794,80;798,40;788,80;789,40;791,646;299602;237168280,64;4439;
2019-02-18;798,80;799,20;797,80;799,00;793,20;798,60;797,202;186649;148787466,49;2642;
2019-02-15;798,40;799,00;796,00;799,00;791,20;797,40;796,506;328322;261503810,03;4023;
2019-02-14;794,80;795,00;785,20;797,40;783,00;794,80;793,84;253433;201186074,25;3788;
2019-02-13;787,20;788,00;790,20;795,00;783,00;787,00;786,815;345852;272116629,57;4314;
2019-02-12;786,80;787,00;789,40;792,00;784,40;788,20;787,765;243375;191711916,45;3295;
2019-02-11;788,00;788,60;787,60;790,00;783,20;788,80;786,491;257603;202579424,95;3266;
